Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Yamalo-Nenets Autonomous Okrug,Russia,28/02/2021 05.22,37071,398,35048
Yamanashi,Japan,28/02/2021 05.22,941,18,914
Yaroslavl Oblast,Russia,28/02/2021 05.22,32668,397,31016
Yucatan,Mexico,28/02/2021 05.22,32702,3098,0
Yukon,Canada,28/02/2021 05.22,72,1,71
Yunnan,Mainland China,28/02/2021 05.22,233,2,229
Zabaykalsky Krai,Russia,28/02/2021 05.22,38523,528,36849
Zacatecas,Mexico,28/02/2021 05.22,27416,2484,0
Zakarpattia Oblast,Ukraine,28/02/2021 05.22,39830,900,30516
Zaporizhia Oblast,Ukraine,28/02/2021 05.22,69504,1132,65049
Zeeland,Netherlands,28/02/2021 05.22,16480,178,0
Zhejiang,Mainland China,28/02/2021 05.22,1321,1,1314
Zhytomyr Oblast,Ukraine,28/02/2021 05.22,50582,834,44309
Zuid-Holland,Netherlands,28/02/2021 05.22,255335,3732,0
